original,translate
Artificially Sweetened Beverages,Bevande dolcificate artificialmente
Fruit Sodas,Soda alla frutta
Orange Soft Drinks,Bevande analcoliche all'arancia
Sweetened Beverages,Bevande zuccherate
Sauces Tomate,Salse Tomate
Sauces Tomates Au Basilic,Salse Tomates Au Basilic
En:Food,Cibo
En:Groceries,Generi alimentari
Pastas,Posta
Cereal Pastas,Pasta ai cereali
Dry Pastas,Paste secche
Durum Wheat Pasta,Pasta di grano duro
Dried Wholemeal Pasta,Pasta integrale secca
Whole Durum Wheat Pasta,Pasta di grano duro integrale
Durum Wheat Penne,Penne di grano duro
Durum Wheat Spaghetti,Durum Wheat Spaghetti
Penne,Penne
Penne Rigate,Penne Rigate
En:Aliments D'Origine Végétale,Alimenti di origine vegetale
En:Aliments Et Boissons À Base De Végétaux,Alimenti e bevande a base vegetale
En:Bâtonnets De Son De Blé,Bastoncini di crusca di frumento
En:Céréales Et Dérivés,Cereali e derivati
En:Céréales Et Pommes De Terre,Cereali e patate
En:Céréales Pour Petit-Déjeuner,Cereali per la prima colazione
Confectioneries,Pasticcerie
Bars,Bars
Chocolate Candies,Caramelle al cioccolato
Cereal Bars,Barrette di cereali
Bars Covered With Chocolate,Barrette ricoperte di cioccolato
Chocolate Cereal Bars,Barrette di cereali al cioccolato
Chocolate Biscuity Bars,Barrette biscottose al cioccolato
Chocolate Confectionery With Dairy Filling,Pasticceria al cioccolato con farcitura al latte
Десерт,Dessert
Coconut-Based Drinks,Bevande a base di cocco
Chocolat 70 % Et Caramel,Cioccolato al 70% e caramello
Caramel Chocolate Bars,Caramel Chocolate Bars
Caramel Chocolate Cookie Bars,Barrette di biscotti al cioccolato e caramello
Naposteltavat,Natiche
Makeat Naposteltavat,Bocconcini dolci
En:Cocoa And Its Products,Il cacao e i suoi prodotti
Sokerileipomotuotteet,Pasticceria
Suklaamakeiset,Dolci al cioccolato
Suklaat,Cioccolatini
Maitosuklaat,Cioccolato al latte
Mantelisuklaat,Cioccolato alle mandorle
Maustetut Suklaat,Cioccolatini aromatizzati
En:Flavoured Milk Chocolates,Cioccolatini al latte aromatizzati
En:Milk Chocolate Bar With Nougat,Barretta di cioccolato al latte con torrone
Sveitsiläiset Suklaat,Cioccolatini svizzeri
Rolled Flakes,Fiocchi arrotolati
Oat-Flakes,Fiocchi d'avena
Cakes,Torte
Filled Biscuits,Biscotti ripieni
Chocolate Cakes,Torte al cioccolato
Filled Cakes,Torte ripiene
Chocolate Soft Cake,Torta morbida al cioccolato
Getreide Und Kartoffeln,Cereali e patate
Getreideprodukte,Prodotti a base di cereali
Teigwaren,Pasta
Getrocknete Teigwaren,Pasta secca
Fusilli,Fusilli
Produits Laitiers,Prodotti lattiero-caseari
Produits Laitiers Fermentés,Prodotti lattiero-caseari fermentati
Fromages,Salumi
Fromages De Vache,Formaggio di mucca
Fromages Italiens,Formaggi italiani
Fromages À Pâte Filée,Formaggio a filo
Mozzarella,Mozzarella
Mozzarella De Vache,Mozzarella De Vache
Confiseries Chocolatées,Pasticceria al cioccolato
Bonbons De Chocolat,Bonbons de Chocolat
Fruits À Coques Enrobés De Chocolat,Noci ricoperte di cioccolato
Cacahuètes Au Chocolat,Arachidi al cioccolato
Dairies,Latterie
Fermented Foods,Cibi fermentati
Fermented Milk Products,Prodotti a base di latte fermentato
Spreads,Diffusione
Cheeses,Formaggi
Salted Spreads,Creme salate
Cheese Spreads,Formaggi spalmabili
Dark Chocolates With Raspberries,Cioccolatini fondenti con lamponi
Céréales Au Chocolat,Cereali al cioccolato
Pépites De Céréales Au Chocolat,Pepite di cereali al cioccolato
En:Céréales Au Chocolat,Cereali al cioccolato
En:Pépites De Céréales Au Chocolat,Pepite di cereali al cioccolato
En:Pépites De Céréales Croustillantes,Pepite croccanti di cereali
Cow Cheeses,Formaggi di mucca
Fresh Foods,Alimenti freschi
Cooked-Pressed-Cheeses,Formaggi pressati cotti
Italian Cheeses,Formaggi italiani
Grated Cheese,Formaggio grattugiato
Parmigiano-Reggiano,Parmigiano Reggiano
Chocolate Nuts Cookie Bars,Barrette di biscotti al cioccolato e noci
Alimentos Y Bebidas De Origen Vegetal,Alimenti e bevande a base vegetale
Alimentos De Origen Vegetal,Alimenti a base vegetale
Desayunos,Colazione
Cereales Y Patatas,Cereali e Patate
Cereales Y Derivados,Cereali e derivati
Cereales Para El Desayuno,Cereali per la prima colazione
Copos,Copos
Copos De Cereales,Fiocchi di cereali
En:Extruded Cereals,Cereali estrusi
En:Extruded Flakes,Fiocchi estrusi
Copos De Maíz Tostado,Tazze di riso tostato
Botanas,Botane
Snacks Dulces,Snack Dulces
Galletas Y Pasteles,Galletas Y Pasteles
Galletas,Galletas
Galletas De Chocolate,Galletas De Chocolate
Fr:Biscuits Avec Fourrage Aux Noisettes Et Au Cacao,Biscotti con ripieno di nocciole e cacao
Gewürzmittel,Condimento
Saucen,Saucen
Nudelsoßen,Sughi per pasta
Pestos,Pesto
Pesto Alla Genovese,Pesto Alla Genovese
Desserts Lactés,Dessert al latte
Desserts Lactés Fermentés,Dessert fermentati al latte
Yaourts,Iauree
Desserts Lactés Fermentés Nature,Dessert lattiero-caseari semplici
Skyrs,Skyrs
Skyrs Nature,Natura Skyrs
Nabiał,Latticini
Napoje Mleczne,Bevande al latte
Suplementy Diety,Divinità Suplementare
En:Bodybuilding Supplements,Integratori per il bodybuilding
En:Protein Shakes,Frullati proteici
Colas,Colas
Substituts Du Lait,Sostituti del latte
Boissons À Base De Végétaux,Bevande a base vegetale
Boissons Végétales,Bevande a base vegetale
Boissons Végétales De Fruits À Coque,Bevande vegetali alle noci
Boissons Végétales De Noisette,Bevande alla nocciola a base vegetale
Snack,Spuntino
Snacks Salati,Snack Insalate
Antipasti,Antipasti
Patatine E Fritti,Patatine E Fritti
Patatine Sottili,Patatine Sottili
Snack Salati A Base Di Patate,Snack Salati A Base Di Patate
En:Plant-Based Foods And Beverages,Alimenti e bevande a base vegetale
En:Plant-Based Foods,Alimenti a base vegetale
En:Breakfasts,Colazione
En:Cereals And Potatoes,Cereali e patate
En:Cereals And Their Products,Cereali e loro prodotti
En:Frozen Foods,Alimenti congelati
En:Breakfast Cereals,Cereali per la prima colazione
En:Chocolate Cereals,Cereali al cioccolato
En:Puffed Grains,Cereali soffiati
En:Breakfast Cereals Fortified With Vitamins And Chemical Elements,Cereali per la prima colazione arricchiti con vitamine ed elementi chimici
En:Puffed Cereals,Cereali soffiati
أرز منتفخ,Riso soffiato
En:Chocolate Puffed Rice,Riso soffiato al cioccolato
En:Chocolate Puffed Rice Fortified With Vitamins And Chemical Elements,Riso soffiato al cioccolato arricchito con vitamine ed elementi chimici
En:Cereales-Au-Chocolat,Cereali al cioccolato
En:Cereales-Soufflees,Soufflé di cereali
En:Grains-Soufflees,Grani soffiati
Fr:Riz Soufflé Goût Chocolat,Soufflé di riso al cioccolato
Specific Products,Prodotti specifici
Products For Specific Diets,Prodotti per diete specifiche
Breads,Pane
Products Without Gluten,Prodotti senza glutine
Gluten-Free Breads,Pane senza glutine
Barres,Barre
Barres De Céréales,Barrette di cereali
Barres Chocolatées,Barrette di cioccolato
Barres Chocolatées Au Lait Et Aux Céréales,Barrette di cioccolato al latte e ai cereali
Cereals With Fruits,Cereali con frutta
Crunchy Mueslis,Mueslis croccante
Mueslis With Fruits,Mueslis con frutta
Crunchy Mueslis With Fruits,Mueslis croccante con frutta
Condimenti,Condimenti
Salse,Salse
En:Meal Sauces,Salse per i pasti
Sughi Per Pasta,Sughi Per Pasta
Salse Di Pomodoro,Salse Di Pomodoro
Salsa All'Arrabbiata,Salsa All'Arrabbiata
En:Pimented Tomato Sauces,Salse al pomodoro piccante
Snack Dolci,Snack Dolci
Biscotti E Torte,Biscotti E Torte
Biscotti,Biscotti
Biscotti Al Cioccolato,Biscotti Al Cioccolato
Frollini,Frollini
Legumes And Their Products,Legumi e loro prodotti
Fats,Grassi
Plant-Based Spreads,Creme spalmabili a base vegetale
Vegetable Fats,Grassi vegetali
Oilseed Purees,Puree di semi oleosi
Legume Butters,Burri di legumi
Nut Butters,Burri di noci
Peanut Butters,Burri di arachidi
Pflanzliche Sahne,Crema vegetale
Pflanzliche Sahne Zum Kochen,Panna vegetale per cucinare
Kokos-Drinks,Bevande al cocco
Kokosmilch,Cocco-milano
Untables,Spreadables
Untables Dulces,Spalmature dolci
Cremas Para Untar,Creme Para Untar
Cremas A Base De Avellanas,Creme a base di nocciole
Cremas De Chocolate,Creme di cioccolato
Cremas De Cacao Y Avellanas,Creme di cacao e nocciole
Cereals With Nuts,Cereali con noci
Mueslis With Nuts,Mueslis con noci
Cibi E Bevande A Base Vegetale,Cibi E Bevande A Base Vegetale
Cibi A Base Vegetale,Cibi A Base Vegetale
Cereali E Patate,Cereali e patate
Cereali E I Loro Prodotti,Cereali E I Loro Prodotti
Pasta,Posta
Paste Alimentari Di Cereali,Paste Alimentari Di Cereali
Pasta Secca,Pasta Secca
Pasta Di Grano Duro,Pasta Di Grano Duro
Paste All'Uovo,Paste All'Uovo
Pasta Al'Uovo Secca,Pasta Al'Uovo Secca
En:Lasagna Sheets,Fogli di lasagna
Fr:Lasagnes À Garnir Aux Œufs,Lasagne con uova
Tomato Sauces,Salse al pomodoro
Ketchup,Ketchup
Groceries,Generi alimentari
Chips De Maïs,Chips The Corn
Hülsenfrüchte Und Hülsenfruchtprodukte,Legumi e prodotti a base di legumi
Hülsenfruchtmilch,Latte di legumi
Alkoholfreie Getränke,Bevande analcoliche
Sojamilch,Latte di soia
Ungesüßte Natürliche Sojamilch,Latte di soia naturale non zuccherato
Galletas De Tipo Digestive,Polli di tipo digestivo
Gâteaux,Torte
Desserts Au Chocolat,Dolci al cioccolato
Barres Chocolatées Au Lait,Barrette di cioccolato al latte
Salted Chocolates,Cioccolatini salati
Fleur De Sel Chocolates,Cioccolatini Fleur De Sel
Salted Dark Chocolates,Cioccolatini fondenti salati
Dark Chocolates With Fleur De Sel,Cioccolatini fondenti con fleur de sel
Sweet Spreads,Spalmature dolci
Fr:Pâtes À Tartiner,Diffusione
Hazelnut Spreads,Spread alla nocciola
Chocolate Spreads,Creme al cioccolato
Cocoa And Hazelnuts Spreads,Crema spalmabile al cacao e nocciole
Frais,Tasse
Fromages Râpés,Formaggio grattugiato
Parmigiano Reggiano,Parmigiano Reggiano
Seeds,Semi
Cereal Grains,Cereali
Cereal Butters,Burri di cereali
Biscuits Petit Déjeuner,Biscotti per la colazione
Kekse,Biscotti
Kekse Und Kuchen,Biscotti e torte
Alcoholic Beverages,Bevande alcoliche
Beers,Birre
Lagers,Cuscinetti
Spreadable Fats,Grassi spalmabili
Animal Fats,Grassi animali
Milkfat,Grasso del latte
Dairy Spread,Latte spalmabile
Butters,Burri
En:Apéritif,Aperitivo
En:Chips,Patatine
En:Chips Et Frites,Patatine e frittelle
En:Snacks Salés,Snack salati
En:Tuiles Salées,Piastrelle salate
Pains Grillés,Pane tostato
Petits Pains Grillés,Panini tostati
Capellini,Capellini
Cibi A Base Di Frutta E Verdura,Cibi A Base Di Frutta E Verdura
Cibi A Base Di Verdure,Cibi A Base Di Verdure
Pomodori E Prodotti Derivati,Pomodori E Prodotti Derivati
Puree Di Pomodoro,Puree Di Pomodoro
Passata,Passata
Frühstückscerealien,Cereali per la colazione
Frühstückscerealien Mit Früchten,Cereali per la colazione con frutta
Müslis,Muslis
En:Bircher-Style Mueslis,Mueslis alla Bircher
Müslis Mit Früchten,Mueslis con frutta
En:Bircher-Style Mueslis With Fruits,Mueslis alla Bircher con frutta
En:Cereals With Nuts,Cereali con noci
Müslis Mit Nüssen,Mueslis con noci
Boissons Sans Sucre Ajouté,Bevande senza zucchero aggiunto
Laits D'Amande,Latte di mandorla
Laits D'Amande Natures Non Sucrés,Latte di mandorla naturale non zuccherato
Matières Grasses Végétales,Grasso vegetale
Produits De L'Olivier,Prodotti dell'olivo
Huiles,Huiles
Huiles D'Olive,Huiles D'Olive
Huiles D'Olive Vierges Extra,Olio d'oliva Vierges Extra
Huiles D'Olive Vierges,Huiles D'Olive Vierges
Non-Alcoholic Beverages,Bevande analcoliche
Energy Drinks,Bevande energetiche
Biscuits Au Chocolat Au Lait,Biscotti al cioccolato al latte
Frozen Foods,Alimenti congelati
Chocolates With Hazelnuts,Cioccolatini con nocciole
Dark Chocolates With Hazelnuts,Cioccolatini fondenti con nocciole
De:Gefüllte-Milchschokolade-60-Mit-Haselnusscreme-37-Und-Haselnuss-Stückchen,Cioccolato al latte ripieno 60 Con crema alla nocciola 37 E pezzi di nocciola
Crèmes Dessert,Creme da dessert
Crèmes Dessert Chocolat,Creme da dessert al cioccolato
Crèmes Dessert Rayon Frais,Dessert alla crema Reparto fresco
Crèmes Dessert Chocolat Réfrigérées,Creme da dessert al cioccolato raffreddate
Растителни Храни И Напитки,Alimenti e bevande vegetali
Растителни Храни,Alimenti vegetali
Зърнени Продукти,Prodotti a base di cereali
En:Specific Products,Prodotti specifici
Паста,Pasta
En:Products For Specific Diets,Prodotti per diete specifiche
Продукти Без Глутен,Prodotti senza glutine
Суха Паста,Pasta secca
En:Gluten-Free Pasta,Pasta senza glutine
Спагети,Spaghetti
En:Gluten-Free Spaghetti,Gluten Free Spaghetti
Fr:Féculents,Amidi
Crispbreads,Pane croccante
En:Rye-Breads,Pane di segale
Viennoiseries,Pasticceria viennese
Pains Au Lait,Pane al latte
Boissons Lactées,Bevande al latte
Cafés,Caffè
Cafés Solubles,Caffè solubili
Boissons Au Café,Bevande Au Café
Cappuccino En Poudre,Cappuccino En Poudre
Chocolates With Almonds,Cioccolatini con mandorle
Dark Chocolate Bar With Less Than 70% Cocoa,Tavoletta di cioccolato fondente con meno del 70% di cacao
Dark Chocolates With Almonds,Cioccolatini fondenti con mandorle
Dark Chocolates With Orange,Cioccolatini fondenti all'arancia
Flavoured Chocolates,Cioccolatini aromatizzati
Flavoured Dark Chocolates,Cioccolatini fondenti aromatizzati
Cooking Helpers,Aiutanti di cucina
Cocoa And Chocolate Powders,Polveri di cacao e cioccolato
Instant Beverages,Bevande istantanee
Pastry Helpers,Aiutanti di pasticceria
Cocoa Powders,Polveri di cacao
Chocolate Powders,Polveri di cioccolato
Biscottes,Biscottes
Biscottes De Froment,Biscottes De Froment
Flocons,Fiocchi
Flocons De Céréales,Fiocchi di cereali
Céréales Extrudées,Cereali estrusi
Flocons Extrudés,Fiocchi estrusi
Corn-Flakes,Corn Flakes
Extruded Crispbreads,Pane croccante estruso
Sliced Breads,Pane a fette
Gluten-Free Sliced Breads,Pane a fette senza glutine
Crèmes Végétales,Creme vegetali
Crèmes Végétales Pour Cuisiner,Creme di verdure per la cottura
Laits Et Crèmes De Coco,Latti e creme di cocco
Przekąski,Spuntini
Słodkie Przekąski,Spuntini dolci
Czekolada Biała,Cioccolato bianco
Pecan Nuts,Noci di Pecan
Shelled Pecan Nuts,Noci di pecan sgusciate
Green Pestos,Pesto verde
Fromages Pasteurisés,Formaggio pastorizzato
Fromages Industriels,Formaggi industriali
Chocolate Sandwich Cookies,Biscotti sandwich al cioccolato
Sauces Pour Pâtes,Sughi per pasta
Sauces Provençales,Salse provenzali
Pani,Pani
Pancarré,Segno
Pani Integrali,Pani Integrali
En:Wholemeal Sliced Breads,Pane integrale a fette
Biscuits À L'Avoine,Biscotti d'avena
Flocons Laminés,Fiocchi laminati
En:Oat-Flakes,Fiocchi d'avena
Desserts Au Soja,Dolci a base di soia
Yaourts Soja Natures,Yaourts Soya Natures
Pastries,Pasticceria
Waffles,cialde
Crèmes Végétales À Base De Coco Pour Cuisiner,Creme vegetali a base di cocco per cucinare
Biscuits Au Chocolat Noir,Biscotti al cioccolato fondente
Biscuits Tablette De Chocolat,Biscotti con barretta di cioccolato
Biscuits Tablette De Chocolat Noir,Biscotti al cioccolato fondente
Graines,Semi
Céréales En Grains,Cereali in chicchi
Maïs,Mais
Céréales En Conserve,Cereali in scatola
Maïs En Conserve,Mais in scatola
Maïs Doux En Conserve,Granturco in scatola
Colazioni,Colazioni
Cereali Da Colazione,Cereali Da Colazione
Muesli,Muesli
Croccanti Grappoli Di Cereali,Croccanti Grappoli Di Cereali
Fromages À Pâte Fraîche,Formaggio fresco
Fromages À La Crème,Crema di formaggio
Mascarpone,Mascarpone
Frucht- Und Gemüsebasierte Lebensmittel,Alimenti a base di frutta e verdura
Brotaufstriche,Diffusione
Fruchtbasierte Lebensmittel,Alimenti a base di frutta
Pflanzliche Brotaufstriche,Creme spalmabili a base vegetale
Süße Brotaufstriche,Creme spalmabili dolci
Konfitüren Und Marmeladen,Marmellate e confetture
Konfitüren,Confituren
Marmeladen Aus Roten Früchten,Confetture di frutti rossi
Himbeere Konfitüren,Marmellate di lamponi
Fruchtkonfitüren,Marmellate di frutta
Snacks Salados,Snack Insalate
Aperitivos,Spuntini
En:Chips And Fries,Patatine fritte
Chips Fritos,Patatine Fritos
Chips De Patatas Fritas,Patate fritte
Chips De Patatas Fritas En Aceite De Girasol,Patatine all'olio di girasole
Butterkekse,biscotti al burro
Sauces Pesto,Salse Pesto
Pestos Au Basilic,Pestos Au Basilic
En:Condiments,Condimenti
En:Sauces,Salse
En:Mayonnaises,Maionesi
Alimenti In Scatola,Alimenti In Scatola
Cibi In Scatola Di Origine Vegetale,Cibi In Scatola Di Origine Vegetale
En:Vegetables,Verdure
Verdure In Scatola,Verdure In Scatola
Pomodori,Pomodori
Pomodori In Scatola,Pomodori In Scatola
Pelati,Pelati
Sosuri,Sosuri
En:Mustard-Sauce,Salsa alla senape
Surgelés,Surf
Biscottes Complètes,Cracker integrali
En:Biscotti,Biscotti
En:Biscotti-E-Torte,Biscotti E Torte
En:Snack-Dolci,Snack Dolci
Petits Beurres,Petits Beurres
Brownies,Brownies
Rusks,Rusk
Wholemeal Rusks,Fette biscottate integrali
Süßwaren,Pasticceria
Riegel,Riegel
Schokoladenkonfekt,Pasticceria al cioccolato
Schokoflocken,scaglie di cioccolato
Puffkörner,Grani soffiati
Schokoladenkekse,Biscotti al cioccolato
Gepufftes Getreide,Grano soffiato
Schokoriegel,Barretta di cioccolato
Kekse Mit Milchschokolade,Biscotti con cioccolato al latte
Puffreis,Riso soffiato
En:Chocolate Covered Bars With Milk And Cereals,Barrette ricoperte di cioccolato con latte e cereali
Zuivelproducten,Prodotti lattiero-caseari
Gefermenteerde Levensmiddelen,Cibi fermentati
Gefermenteerde Zuivelproducten,Prodotti lattiero-caseari fermentati
Kazen,Formaggi
Koemelkkazen,Formaggi di latte vaccino
Witschimmelkazen,Formaggi a pasta bianca
Franse Kazen,Formaggi francesi
Bries,Bries
Alimentos E Bebidas À Base De Plantas,Alimenti e bevande a base di erbe
Alimentos À Base De Plantas,Alimenti a base vegetale
Condimentos,Condimenti
Produtos Para Barrar,Prodotti spalmabili
Produtos Para Barrar À Base De Plantas,Spalmati alle erbe
Produtos Salgados Para Barrar,Spalmati salati
Molhos,Salse
En:Dips,Tuffi
Hummus,Hummus
En:Classic Hummus,Hummus classico
Salzige Snacks,Snack salati
Samen,Semi
Kürbisprodukte,Prodotti a base di zucca
En:Cucurbitacea Seeds,Semi di Cucurbitacea
Kürbiskerne Und Deren Produkte,Semi di zucca e prodotti derivati
Kürbiskerne,Semi di zucca
Boissons Végétales De Céréales,Bevande vegetali ai cereali
Boissons À L'Avoine,Bevande all'avena
Brioches,Brioches
Brioches Tressées,Brioches intrecciate
Brioches Pur Beurre,Brioches Pur Beurre
Brioches Vendéennes,Brioches Vendéennes
Produits Labellisés,Prodotti etichettati
Сосове,Sosove
